date, pm25, pm10, o3, no2, so2, co
2025/11/1, 29, 10, 24, 1, 1, 
2025/11/2, 23, 11, 23, 2, 1, 
2025/11/3, 22, 10, 28, 2, 1, 
2025/11/4, 28, 10, 27, 5, 1, 
2025/11/5, 29, 9, 27, 3, , 
2025/11/6, 22, 8, 25, 1, 1, 
2025/11/7, 15, 10, 26, 1, , 
2025/11/8, 25, 10, 23, 1, , 
2025/11/9, 15, 10, 26, 3, , 
2025/11/10, 23, 13, 29, 3, 1, 
2025/11/11, 32, 14, 35, 4, , 
2025/11/12, 40, 16, 37, 3, , 
2025/11/13, 48, 15, 27, 2, , 
2025/11/14, 55, , , , , 
2025/10/1, 34, 20, 24, 4, 1, 
2025/10/2, 34, 15, 22, , 1, 
2025/10/3, 40, 23, 29, 2, , 
2025/10/4, 53, 18, 25, 1, , 
2025/10/5, 41, 13, 25, 1, 1, 
2025/10/6, 20, 18, 29, 4, 1, 
2025/10/7, 33, 21, 31, 3, 1, 
2025/10/8, 44, 17, 31, 3, , 
2025/10/9, 44, 12, 28, 2, , 
2025/10/10, 30, , 32, 1, 1, 
2025/10/11, 27, , 33, 1, 1, 
2025/10/12, 26, , 32, 1, 1, 
2025/10/13, 32, 11, 29, 1, 1, 
2025/10/14, 48, 12, 31, 3, 1, 
2025/10/15, 50, 16, 33, 3, 1, 
2025/10/16, 56, 13, 27, 3, , 
2025/10/17, 56, 11, 30, 1, , 
2025/10/18, 49, 10, 32, , , 
2025/10/19, 33, 10, 31, 2, 1, 
2025/10/20, 27, 10, 29, , 1, 
2025/10/21, 18, 10, 26, , , 
2025/10/22, 13, 16, 34, , 1, 
2025/10/23, 20, 22, 30, 1, 1, 
2025/10/24, 25, 17, 24, 1, 1, 
2025/10/25, 29, 10, 20, 2, 1, 
2025/10/26, 20, 7, 26, , 1, 
2025/10/27, 18, 11, 27, 3, 1, 
2025/10/28, 26, 10, 25, 2, 1, 
2025/10/29, 30, 8, 24, 2, , 
2025/10/30, 23, 10, 22, 1, , 
2025/10/31, 24, 9, 25, 2, 1, 
2025/7/1, 48, 40, 56, 5, 1, 
2025/7/2, 40, 30, 42, 4, , 
2025/7/3, 42, 28, 46, 2, , 
2025/7/4, 50, 27, 54, 2, , 
2025/7/5, 44, 30, 51, 4, , 
2025/7/6, 52, 21, 44, 2, , 
2025/7/7, 39, 23, 32, 1, , 
2025/7/8, 27, 28, 35, 3, , 
2025/7/9, 27, 38, 43, 3, 1, 
2025/7/10, 31, 32, 39, 2, , 
2025/7/11, 38, 25, 44, 1, , 
2025/7/12, 30, 10, 49, 3, 1, 
2025/7/13, 21, 11, 47, 6, 1, 
2025/7/14, 21, 16, 43, 3, , 
2025/7/15, 29, 22, 41, 3, 1, 
2025/7/16, 42, 23, 38, 4, 1, 
2025/7/17, 42, 30, 40, 4, 1, 
2025/7/18, 44, 27, 38, 3, , 
2025/7/19, 44, 19, 37, 2, , 
2025/7/20, 43, 25, 33, 3, 1, 
2025/7/21, 37, 16, 31, 2, 1, 
2025/7/22, 24, 18, 32, 4, , 
2025/7/23, 30, 11, 31, 4, 1, 
2025/7/24, 21, 10, 37, 2, 1, 
2025/7/25, 22, 12, 37, 3, 1, 
2025/7/26, 27, 17, 41, 2, 1, 
2025/7/27, 35, 16, 37, 2, 1, 
2025/7/28, 40, 17, 39, 3, , 
2025/7/29, 37, 17, 38, 3, 1, 
2025/7/30, 37, 19, 32, 2, 1, 
2025/7/31, 32, 20, 36, 2, 1, 
2025/8/1, 32, 19, 36, 3, 1, 
2025/8/2, 36, 17, 40, 2, 1, 
2025/8/3, 28, 19, 35, 1, , 
2025/8/4, 36, 19, 42, 4, 1, 
2025/8/5, 44, 29, 41, 4, 1, 
2025/8/6, 42, 22, 45, 4, 1, 
2025/8/7, 46, 24, 47, 6, 1, 
2025/8/8, 56, 33, 45, 6, 1, 
2025/8/9, 62, , , , 1, 
2025/8/11, 68, 34, 50, 5, 1, 
2025/8/12, 67, 52, 53, 6, 1, 
2025/8/13, 71, 40, 51, 3, 1, 
2025/8/14, 61, 38, 55, 4, 1, 
2025/8/15, 59, 43, 63, 3, 1, 
2025/8/16, 57, 40, 58, 3, 1, 
2025/8/17, 60, 32, 47, 3, 1, 
2025/8/18, 61, 27, 42, 3, 1, 
2025/8/19, 57, 23, 36, 2, 1, 
2025/8/20, 56, 16, 41, 2, 1, 
2025/8/21, 49, 14, 40, 2, 1, 
2025/8/22, 34, 14, 39, 1, 1, 
2025/8/23, 37, 18, 39, 2, 1, 
2025/8/24, 42, 20, 33, 2, , 
2025/8/25, 49, 21, 40, 3, 1, 
2025/8/26, 55, 25, 40, 1, 1, 
2025/8/27, 59, 30, 33, 3, 1, 
2025/8/28, 61, 18, 32, 1, 1, 
2025/8/29, 42, 11, 32, 1, 1, 
2025/8/30, 18, 13, 35, 1, 1, 
2025/8/31, 21, 14, 31, 2, 1, 
2025/9/1, 24, 11, 30, 1, 1, 
2025/9/2, 14, 15, 35, 2, 1, 
2025/9/3, 19, 17, 34, 2, 1, 
2025/9/4, 24, 14, 29, 2, 1, 
2025/9/5, 21, 13, 27, 3, 1, 
2025/9/6, 18, 18, 30, 2, 1, 
2025/9/7, 25, 22, 30, 2, 1, 
2025/9/8, 36, 12, 29, 2, 1, 
2025/9/9, 25, 9, 31, 2, 1, 
2025/9/10, 15, 16, 29, 1, 1, 
2025/9/11, 30, 19, 29, 1, 1, 
2025/9/12, 33, 15, 27, 2, 1, 
2025/9/13, 39, 12, 19, 5, 1, 
2025/9/14, 34, 15, 27, 2, , 
2025/9/15, 45, 13, 23, 4, 1, 
2025/9/16, 31, 15, 26, 5, 1, 
2025/9/17, 40, 20, 34, 5, 1, 
2025/9/18, 55, 17, 31, 2, 1, 
2025/9/19, 56, 13, 26, 2, 1, 
2025/9/20, 32, 13, 24, 3, 1, 
2025/9/21, 31, 13, 26, 3, 1, 
2025/9/22, 15, 4, 29, 2, 1, 
2025/9/23, 12, 7, 30, 2, 1, 
2025/9/24, 13, 10, 30, 3, 1, 
2025/9/25, 16, 10, 32, 2, 1, 
2025/9/26, 21, 12, 34, 1, 1, 
2025/9/27, 18, , 28, 3, , 
2025/9/29, 31, 15, 31, 4, 1, 
2025/9/30, 44, 17, 30, 4, 1, 
2025/4/1, 30, 12, 38, 3, , 
2025/4/2, 24, 10, 39, 3, , 
2025/4/3, 25, 10, 40, 2, 1, 
2025/4/4, 23, 16, 38, 4, 1, 
2025/4/5, 33, 16, 35, 1, 1, 
2025/4/6, 44, 18, 39, 4, 1, 
2025/4/7, 34, 18, 43, 5, 1, 
2025/4/8, 46, 18, 34, 4, 1, 
2025/4/9, 50, 15, 34, 3, 1, 
2025/4/10, 47, 16, 38, 5, , 
2025/4/11, 44, 17, 36, 5, 1, 
2025/4/12, 46, 20, 38, 4, 1, 
2025/4/13, 55, 16, 34, 3, 1, 
2025/4/14, 45, 12, 34, 3, 1, 
2025/4/15, 40, 10, 35, 3, 1, 
2025/4/16, 24, 9, 37, 2, , 
2025/4/17, 22, 11, 37, 1, , 
2025/4/18, 24, 11, 32, 1, 1, 
2025/4/19, 38, 7, 34, 1, 1, 
2025/4/20, 18, 10, 36, 1, 1, 
2025/4/21, 15, 10, 33, 4, 1, 
2025/4/22, 17, 11, 30, 2, 1, 
2025/4/23, 22, 13, 33, 1, 1, 
2025/4/24, 22, 17, 33, 8, 1, 
2025/4/25, 35, 17, 33, 4, 1, 
2025/4/26, 44, 10, 31, 2, 1, 
2025/4/27, 25, 6, 35, 1, 1, 
2025/4/28, 12, , 38, 6, 1, 
2025/4/29, 34, 9, 39, 5, 1, 
2025/4/30, 35, 13, 45, 4, 1, 
2025/5/1, 27, 16, 45, 9, 1, 
2025/5/2, 32, 21, 43, 5, 1, 
2025/5/3, 47, 34, 35, 7, 1, 
2025/5/4, 62, 13, 35, 3, 1, 
2025/5/5, 34, 8, 31, 2, 1, 
2025/5/6, 18, 9, 34, 2, 1, 
2025/5/7, 21, 10, 36, 3, 1, 
2025/5/9, 22, , 31, 1, 1, 
2025/5/10, 23, , 34, , 1, 
2025/5/11, 21, , 30, 3, 1, 
2025/5/12, 19, , 35, 4, , 
2025/5/13, 25, 10, 33, 2, , 
2025/5/14, 28, 11, 37, 2, , 
2025/5/15, 25, 15, 42, 1, , 
2025/5/16, 25, 19, 39, 2, , 
2025/5/17, 38, , 42, 1, , 
2025/5/18, 35, , 45, 3, , 
2025/5/19, 28, 19, 38, 2, , 
2025/5/20, 23, 21, 39, 4, , 
2025/5/21, 32, 16, 36, 2, , 
2025/5/22, 31, 12, 38, 1, , 
2025/5/23, 27, 15, 38, 2, , 
2025/5/24, 33, 15, 41, 1, , 
2025/5/25, 39, 15, 41, 3, , 
2025/5/26, 36, 14, 33, 2, , 
2025/5/27, 32, 18, 39, 4, , 
2025/5/28, 34, 26, 38, 4, 1, 
2025/5/29, 35, 25, 47, 5, 1, 
2025/5/30, 39, 28, 42, 5, 1, 
2025/5/31, 32, 30, 39, 4, 1, 
2025/6/1, 35, 24, 36, 2, , 
2025/6/2, 27, 15, 42, 1, , 
2025/6/3, 27, 23, 38, 2, , 
2025/6/4, 39, 25, 36, 3, , 
2025/6/5, 42, 32, 40, 4, , 
2025/6/6, 53, 32, 38, 2, , 
2025/6/7, 55, 22, 32, 1, , 
2025/6/8, 49, 26, 37, 1, , 
2025/6/9, 47, 35, 37, 2, , 
2025/6/10, 50, 39, 40, 2, 1, 
2025/6/11, 55, 39, 45, 2, , 
2025/6/12, 61, 29, 49, 2, , 
2025/6/13, 74, 29, 50, 1, , 
2025/6/14, 76, 28, 43, 1, , 
2025/6/15, 64, 24, 36, 1, , 
2025/6/16, 56, 26, 34, 6, , 
2025/6/17, 43, 33, 54, 3, , 
2025/6/18, 44, 30, 44, 6, 1, 
2025/6/19, 51, 35, 37, 2, 1, 
2025/6/21, 52, 40, 40, 1, 1, 
2025/6/22, 48, 51, 44, 3, 1, 
2025/6/23, 45, 21, 42, 1, 4, 
2025/6/24, 114, 32, 45, 5, 1, 
2025/6/25, 59, 29, 52, 3, 1, 
2025/6/26, 51, 36, 42, 2, 1, 
2025/6/27, 49, 32, 47, 4, 1, 
2025/6/28, 53, 27, 49, 5, 1, 
2025/6/29, 46, 29, 43, 8, 1, 
2025/6/30, 38, 22, 51, 3, , 
2025/1/1, 75, 7, 30, 2, , 
2025/1/2, 40, 7, 21, 2, , 
2025/1/3, 33, 9, 24, 2, , 
2025/1/4, 43, 9, 29, 1, , 
2025/1/5, 46, 12, 29, 2, , 
