date, pm25, pm10, o3, no2, so2, co
2025/11/1, 44, 17, , 9, , 
2025/11/2, 33, 17, , 13, , 
2025/11/3, 27, 22, , 21, , 
2025/11/4, 39, 24, , 23, , 
2025/11/5, 36, 14, , 10, , 
2025/11/6, 30, 12, , 14, , 
2025/11/7, 18, 15, , 14, , 
2025/11/8, 25, 12, , 9, , 
2025/11/9, 23, 17, , 20, , 
2025/11/10, 25, 24, , 23, , 
2025/11/11, 37, 27, , 23, , 
2025/11/12, 46, 29, , 11, , 
2025/11/13, 48, 27, , , , 
2025/10/1, 34, 22, , 12, , 
2025/10/2, 35, 28, , 13, , 
2025/10/3, 40, 25, , 13, , 
2025/10/4, 53, 22, , 5, , 
2025/10/5, 41, 15, , 7, , 
2025/10/6, 21, 20, , 13, , 
2025/10/7, 37, 21, , 11, , 
2025/10/8, 45, 23, , 13, , 
2025/10/9, 47, 17, , 8, , 
2025/10/10, 40, 15, , 3, , 
2025/10/11, 31, 14, , 5, , 
2025/10/12, 29, 17, , 9, , 
2025/10/13, 32, 18, , 11, , 
2025/10/14, 52, 21, , 11, , 
2025/10/15, 53, 22, , 11, , 
2025/10/16, 60, 19, , 14, , 
2025/10/17, 62, 17, , 13, , 
2025/10/18, 53, 15, , 10, , 
2025/10/19, 40, 14, , 8, , 
2025/10/20, 29, 16, , 17, , 
2025/10/21, 27, 18, , 13, , 
2025/10/22, 27, 28, , 6, , 
2025/10/23, 25, 26, 23, 12, , 
2025/10/24, 31, 23, 25, 16, , 
2025/10/25, 34, 14, 19, 7, , 
2025/10/26, 27, 11, 18, 9, , 
2025/10/27, 20, 18, 23, 17, , 
2025/10/28, 29, 22, 13, 24, , 
2025/10/29, 39, 16, 9, 11, , 
2025/10/30, 35, 20, , 17, , 
2025/10/31, 26, 19, , 16, , 
2025/7/1, 54, 35, , 8, , 
2025/7/2, 43, 32, , 7, , 
2025/7/3, 47, 35, , 10, , 
2025/7/4, 56, 29, , 7, , 
2025/7/5, 45, 29, , 7, , 
