date, pm25, pm10, o3, no2, so2, co
2025/11/1, 53, 18, 26, 10, , 
2025/11/2, 42, 19, 19, 11, , 
2025/11/3, 31, 20, 22, 17, 1, 
2025/11/4, 41, 22, 16, 22, 1, 
2025/11/5, 45, 17, 22, 11, 1, 
2025/11/6, 35, 13, 18, 10, 1, 
2025/11/7, 24, 18, 14, 14, 1, 
2025/11/8, 44, 14, 18, 9, 1, 
2025/11/9, 36, 17, 17, 11, 1, 
2025/11/10, 34, 25, 13, 25, 1, 
2025/11/11, 51, 33, 12, 27, 1, 
2025/11/12, 62, 30, 25, 8, 1, 
2025/11/13, 59, 34, 24, 8, , 
2025/11/14, 61, , , , , 
2025/10/1, 39, 21, 28, 11, , 
2025/10/2, 41, 22, 29, 13, , 
2025/10/3, 46, 28, 35, 13, , 
2025/10/4, 58, 23, 26, 5, , 
2025/10/5, 49, 17, 25, 6, , 
2025/10/6, 25, 23, 25, 15, , 
2025/10/7, 40, 24, 26, 13, , 
2025/10/8, 51, 25, 22, 15, , 
2025/10/9, 54, 20, 25, 11, , 
2025/10/10, 44, 16, 32, 3, , 
2025/10/11, 35, 14, 32, 3, , 
2025/10/12, 32, 16, 30, 10, , 
2025/10/13, 39, 28, 26, 10, , 
2025/10/14, 54, 26, 26, 14, , 
2025/10/15, 57, 27, 24, 14, , 
2025/10/16, 63, 26, 22, 20, , 
2025/10/17, 66, 21, 24, 14, , 
2025/10/18, 59, 19, 30, 9, , 
2025/10/19, 55, 17, 31, 9, , 
2025/10/20, 37, 17, 20, 12, , 
2025/10/21, 29, 18, 12, 16, , 
2025/10/22, 27, 29, 17, 3, , 
2025/10/23, 27, 23, 25, 13, 1, 
2025/10/24, 35, 20, 23, 10, 1, 
2025/10/25, 38, 14, 19, 8, 1, 
2025/10/26, 29, 14, 24, 8, 1, 
2025/10/27, 26, 19, 19, 18, 1, 
2025/10/28, 35, 26, 18, 20, 1, 
2025/10/29, 52, 18, 17, 9, 1, 
2025/10/30, 35, 15, 18, 11, 1, 
2025/10/31, 34, 23, 27, 15, 1, 
2025/7/1, 59, 29, 34, 17, , 
2025/7/2, 50, 29, 32, 10, , 
2025/7/3, 51, 28, 36, 11, , 
2025/7/4, 57, 27, 43, 9, , 
2025/7/5, 54, 30, 35, 13, , 
2025/7/6, 63, 23, 39, 8, , 
2025/7/7, 43, 25, 28, 6, , 
2025/7/8, 36, 23, 32, 8, , 
2025/7/9, 35, 21, 32, 11, , 
2025/7/10, 35, 23, 29, 11, , 
2025/7/11, 45, 19, 34, 5, , 
2025/7/12, 39, 12, 46, 6, , 
2025/7/13, 26, 15, 37, 11, , 
2025/7/14, 26, 16, 32, 11, , 
2025/7/15, 28, 22, 33, 8, , 
2025/7/16, 47, 25, 28, 11, , 
2025/7/17, 50, 30, 28, 11, , 
2025/7/18, 52, 23, 27, 7, , 
2025/7/19, 51, 22, 32, 3, , 
2025/7/20, 49, 21, 29, 9, , 
2025/7/21, 42, 17, 27, 7, , 
2025/7/22, 30, 16, 27, 9, , 
2025/7/23, 29, 26, 23, 11, , 
2025/7/24, 35, 30, 30, 8, , 
2025/7/25, 38, 19, 32, 6, , 
2025/7/26, 38, 17, 34, 6, , 
2025/7/27, 43, 19, 30, 7, , 
2025/7/28, 46, 20, 30, 9, , 
2025/7/30, 40, 34, 27, 6, , 
2025/7/31, 46, 26, 29, 9, 1, 
2025/8/1, 43, 18, 27, 8, 1, 
2025/8/2, 36, 16, 36, 4, 1, 
2025/8/3, 33, 22, 34, 3, 1, 
2025/8/4, 40, 23, 31, 11, 1, 
2025/8/5, 46, 23, 34, 12, 1, 
2025/8/6, 49, 35, 32, 10, 1, 
2025/8/7, 61, 28, 31, 14, 1, 
2025/8/8, 60, 25, 29, 9, 1, 
2025/8/9, 61, 28, , 7, 1, 
2025/8/10, 64, 39, 29, 25, 1, 
2025/8/11, 78, 44, 29, 21, 1, 
2025/8/12, 75, 45, 34, 13, 1, 
2025/8/13, 76, 37, 40, 9, 1, 
2025/8/14, 63, 33, 37, 15, 1, 
2025/8/15, 67, 31, 46, 13, 1, 
2025/8/16, 63, 33, 43, 12, 1, 
2025/8/17, 71, 32, 36, 9, 2, 
2025/8/18, 67, 35, 30, 8, 1, 
2025/8/19, 63, 29, 34, 5, 1, 
2025/8/20, 63, 22, 35, 4, 1, 
2025/8/21, 54, 22, 35, 7, 1, 
2025/8/22, 42, 18, 38, 3, 1, 
2025/8/23, 43, 18, 34, 5, , 
2025/8/24, 50, 29, 31, 8, 1, 
2025/8/25, 58, 32, 28, 19, 1, 
2025/8/26, 69, 40, 30, 10, 1, 
2025/8/27, 70, 44, 27, 11, 1, 
2025/8/28, 71, 35, 28, 7, 1, 
2025/8/29, 52, 27, 29, 4, 1, 
2025/8/30, 33, 18, 34, 4, 1, 
2025/8/31, 32, 18, 29, 9, 1, 
2025/9/1, 31, 20, 28, 7, 1, 
2025/9/2, 22, 22, 33, 11, 1, 
2025/9/3, 30, 22, 32, 10, 1, 
2025/9/4, 37, 34, 26, 6, 1, 
2025/9/5, 40, 20, 24, 8, , 
2025/9/6, 25, 18, 27, 4, , 
2025/9/7, 34, 39, 24, 6, , 
2025/9/8, 55, 43, 26, 8, , 
2025/9/9, 49, 22, 25, 7, , 
2025/9/10, 26, 19, 26, 1, , 
2025/9/11, 40, 20, 23, 5, , 
2025/9/12, 40, 18, 20, 8, , 
2025/9/13, 40, 15, 22, 7, , 
2025/9/14, 36, 20, 23, 9, , 
2025/9/15, 52, 18, 17, 9, , 
2025/9/16, 38, 21, 21, 12, , 
2025/9/17, 42, 24, 26, 15, , 
2025/9/18, 60, 24, 23, 11, , 
2025/9/19, 59, 20, 26, 5, , 
2025/9/20, 48, , 22, 8, , 
2025/9/23, 19, 12, 31, 3, , 
2025/9/24, 18, 11, 25, 9, , 
2025/9/25, 23, 16, 28, 9, , 
2025/9/26, 25, 13, 29, 4, , 
2025/9/27, 22, 13, 26, 6, , 
2025/9/28, 25, 17, 25, 9, , 
2025/9/29, 39, 22, 26, 14, , 
2025/9/30, 51, 20, 29, 8, , 
2025/4/1, 47, 19, 34, 14, 1, 
2025/4/2, 36, 20, 32, 9, 1, 
2025/4/3, 33, 17, 36, 8, 1, 
2025/4/4, 34, 23, 32, 13, 1, 
2025/4/5, 50, 25, 22, 18, 1, 
2025/4/6, 63, 25, 28, 20, 1, 
2025/4/7, 48, 33, 27, 19, 1, 
2025/4/8, 66, 27, 30, 13, 1, 
2025/4/9, 60, 20, 29, 11, 1, 
2025/4/10, 48, 23, 30, 15, 1, 
2025/4/11, 55, 21, 30, 12, , 
2025/4/12, 55, 25, 35, 7, 1, 
2025/4/13, 65, 19, 32, 10, 1, 
2025/4/14, 47, 25, 32, 8, 1, 
2025/4/15, 52, 26, 31, 9, , 
2025/4/16, 30, 19, 32, 8, , 
2025/4/17, 22, 17, 35, 6, , 
2025/4/18, 31, 17, 34, 6, , 
2025/4/19, 45, 11, 33, 6, , 
2025/4/20, 19, 11, 37, 5, , 
2025/4/21, 18, 16, 29, 17, 1, 
2025/4/22, 26, 19, 24, 12, 1, 
2025/4/23, 27, 19, 27, 14, 1, 
2025/4/24, 29, 28, 28, 17, , 
2025/4/25, 45, 26, 24, 12, , 
2025/4/26, 51, , 24, 9, 1, 
2025/4/28, 29, 17, 32, 12, 1, 
2025/4/29, 46, 16, 32, 12, 1, 
2025/4/30, 44, 15, 41, 6, 1, 
2025/5/1, 34, 19, 39, 9, , 
2025/5/2, 40, 23, 37, 7, , 
2025/5/3, 51, 28, 34, 7, 1, 
2025/5/4, 59, 17, 30, 13, , 
2025/5/5, 37, 15, 29, 10, , 
2025/5/6, 28, 13, 33, 9, , 
2025/5/7, 26, 16, 35, 15, , 
2025/5/8, 32, 12, 34, 12, , 
2025/5/9, 30, 13, 31, 5, , 
2025/5/10, 29, 12, 32, 5, , 
2025/5/11, 25, 13, 30, 12, , 
2025/5/12, 27, 16, 31, 12, , 
2025/5/13, 36, 15, 27, 10, , 
2025/5/14, 33, 18, 33, 10, , 
2025/5/15, 40, 22, 40, 8, , 
2025/5/16, 44, 20, 39, 7, 1, 
2025/5/17, 43, 18, 40, 6, 1, 
2025/5/18, 45, 26, 36, 17, 1, 
2025/5/19, 45, 23, 34, 8, 1, 
2025/5/20, 37, 24, 35, 14, 1, 
2025/5/21, 44, , 35, 7, 1, 
2025/5/23, 32, 18, 39, 8, 1, 
2025/5/24, 40, 19, 39, 6, 1, 
2025/5/25, 44, 21, 29, 15, 1, 
2025/5/26, 51, 22, 29, 10, 1, 
2025/5/27, 41, 25, 30, 13, , 
2025/5/28, 43, 25, 30, 17, , 
2025/5/29, 50, 30, 32, 20, 1, 
2025/5/30, 55, 24, 31, 14, 1, 
2025/5/31, 42, 20, 35, 9, 1, 
2025/6/1, 41, 19, 29, 10, , 
2025/6/2, 35, 22, 32, 10, , 
2025/6/3, 41, 28, 30, 8, , 
2025/6/4, 51, 27, 33, 8, , 
2025/6/5, 53, 33, 32, 11, 1, 
2025/6/6, 70, 27, 27, 11, 1, 
2025/6/7, 59, 21, 29, 4, 1, 
2025/6/8, 52, 24, 35, 5, 1, 
2025/6/9, 55, 31, 29, 9, 1, 
2025/6/10, 56, 39, 33, 15, 1, 
2025/6/11, 64, 33, 33, 11, 1, 
2025/6/12, 68, 33, 34, 8, 1, 
2025/6/13, 82, 34, 34, 9, 1, 
2025/6/14, 80, 30, 31, 6, 1, 
2025/6/15, 68, 30, , , , 
2025/6/16, 58, 26, 27, 13, 1, 
2025/6/17, 51, 25, 40, 12, 1, 
2025/6/18, 51, 32, 33, 15, 1, 
2025/6/19, 56, 38, 36, 10, 1, 
2025/6/20, 59, 32, 37, 8, , 
2025/6/21, 56, 29, 36, 7, , 
2025/6/22, 56, 35, 37, 9, , 
2025/6/23, 66, 74, 37, 11, , 
2025/6/24, 152, 33, 32, 21, , 
2025/6/25, 62, 36, 40, 12, , 
2025/6/26, 58, 39, 34, 8, , 
2025/6/27, 58, 31, 36, 11, , 
2025/6/28, 59, 29, 27, 18, , 
2025/6/29, 60, 33, 30, 22, , 
2025/6/30, 54, 32, 32, 17, , 
2025/1/1, 80, 17, 22, 9, , 
2025/1/2, 46, 15, 14, 7, , 
2025/1/3, 38, 16, 16, 11, , 
2025/1/4, 48, 18, 20, 10, , 
2025/1/5, 54, 19, 18, 12, , 
2025/1/6, 44, 15, 19, 9, , 
2025/1/7, 32, 14, 20, 14, , 
2025/1/8, 21, 17, 23, 10, , 
2025/1/9, 27, 19, 13, 21, , 
2025/1/10, 31, 16, 18, 11, , 
2025/1/11, 29, 11, 25, 13, , 
2025/1/12, 21, 17, 16, 24, , 
2025/1/13, 37, 22, 14, 23, , 
2025/1/14, 42, 26, 11, 24, 1, 
2025/1/15, 54, 32, 23, 14, , 
2025/1/16, 62, 19, 23, 15, , 
2025/1/17, 43, 22, 13, 25, 1, 
2025/1/18, 58, 20, 19, 18, , 
2025/1/19, 52, 26, 21, 24, , 
2025/1/20, 55, 32, 13, 29, , 
2025/1/21, 61, 42, 12, 21, , 
2025/1/22, 76, 34, 17, 17, , 
2025/1/23, 60, 28, 9, 21, , 
2025/1/24, 59, 23, 22, 18, 1, 
2025/1/25, 57, 16, 23, 9, , 
2025/1/26, 35, 21, 21, 10, , 
2025/1/27, 33, 18, 28, 5, , 
2025/1/28, 21, 21, 26, 11, , 
2025/1/29, 27, 21, 19, 13, , 
2025/1/30, 37, 21, 14, 12, , 
2025/1/31, 38, 18, 15, 14, , 
2025/2/1, 45, 14, 17, 11, , 
2025/2/2, 47, 19, 14, 20, 1, 
2025/2/3, 44, 29, 11, 28, 1, 
2025/2/4, 57, 37, 12, 26, 1, 
2025/2/5, 80, 38, 21, 18, 1, 
2025/2/6, 96, 32, 27, 18, 1, 
2025/2/7, 75, 20, 30, 10, 1, 
2025/2/8, 52, 16, 22, 13, 1, 
2025/2/9, 48, 24, 18, 24, , 
2025/2/10, 60, 18, 21, 19, 1, 
2025/2/11, 43, 21, 17, 23, 1, 
2025/2/12, 48, 17, 15, 14, 1, 
2025/2/13, 45, 27, 9, 21, 1, 
2025/2/14, 59, 26, 23, 15, , 
2025/2/15, 64, 22, 23, 13, , 
2025/2/16, 57, 32, 15, 23, , 
2025/2/17, 80, 28, 19, 20, , 
